ORTHOMCL0: LbrM_01|LbrM.01.0470:mRNA LmjF_01|LmjF.01.0420:mRNA LmjF_01|LmjF.01.0410:mRNA LbrM_01|LbrM.01.0460:mRNA
ORTHOMCL1: LbrM_01|LbrM.01.0620:mRNA LmjF_01|LmjF.01.0590.1:mRNA LmjF_01|LmjF.01.0590.2:mRNA Tb927_01|Tb927.1.3030:mRNA
ORTHOMCL2: LbrM_01|LbrM.01.0670:mRNA LmjF_01|LmjF.01.0690:mRNA LbrM_01|LbrM.01.0680:mRNA
ORTHOMCL3: LbrM_01|LbrM.01.0410:mRNA LmjF_01|LmjF.01.0360:mRNA
ORTHOMCL4: LbrM_01|LbrM.01.0120:mRNA LmjF_01|LmjF.01.0090:mRNA
ORTHOMCL5: LbrM_01|LbrM.01.0030:mRNA LmjF_01|LmjF.01.0610:mRNA
ORTHOMCL6: LbrM_01|LbrM.01.0160:mRNA LmjF_01|LmjF.01.0130:mRNA
ORTHOMCL7: LbrM_01|LbrM.01.0760:mRNA LmjF_01|LmjF.01.0800:mRNA
ORTHOMCL8: LmjF_01|LmjF.01.0530:mRNA LbrM_01|LbrM.01.0260:mRNA
ORTHOMCL9: LbrM_01|LbrM.01.0140:mRNA LmjF_01|LmjF.01.0110:mRNA
ORTHOMCL10: LbrM_01|LbrM.01.0040:mRNA LmjF_01|LmjF.01.0010:mRNA
ORTHOMCL11: LbrM_01|LbrM.01.0270:mRNA LmjF_01|LmjF.01.0230:mRNA
ORTHOMCL12: LbrM_01|LbrM.01.0570:mRNA LmjF_01|LmjF.01.0540:mRNA
ORTHOMCL13: LbrM_01|LbrM.01.0010:mRNA LmjF_01|LmjF.01.0630:mRNA
ORTHOMCL14: LbrM_01|LbrM.01.0320:mRNA LmjF_01|LmjF.01.0290:mRNA
ORTHOMCL15: LbrM_01|LbrM.01.0580:mRNA LmjF_01|LmjF.01.0550:mRNA
ORTHOMCL16: LbrM_01|LbrM.01.0660:mRNA LmjF_01|LmjF.01.0680:mRNA
ORTHOMCL17: LbrM_01|LbrM.01.0360:mRNA LmjF_01|LmjF.01.0320:mRNA
ORTHOMCL18: LbrM_01|LbrM.01.0640:mRNA LmjF_01|LmjF.01.0660:mRNA
ORTHOMCL19: LbrM_01|LbrM.01.0200:mRNA LmjF_01|LmjF.01.0170:mRNA
ORTHOMCL20: LbrM_01|LbrM.01.0300:mRNA LmjF_01|LmjF.01.0270:mRNA
ORTHOMCL21: LbrM_01|LbrM.01.0420:mRNA LmjF_01|LmjF.01.0370:mRNA
ORTHOMCL22: LbrM_01|LbrM.01.0150:mRNA LmjF_01|LmjF.01.0120:mRNA
ORTHOMCL23: LbrM_01|LbrM.01.0370:mRNA LmjF_01|LmjF.01.0330.2:mRNA
ORTHOMCL24: LbrM_01|LbrM.01.0020:mRNA LmjF_01|LmjF.01.0620:mRNA
ORTHOMCL25: LbrM_01|LbrM.01.0750:mRNA LmjF_01|LmjF.01.0790:mRNA
ORTHOMCL26: LbrM_01|LbrM.01.0380:mRNA LmjF_01|LmjF.01.0335:mRNA
ORTHOMCL27: LbrM_01|LbrM.01.0090:mRNA LmjF_01|LmjF.01.0060:mRNA
ORTHOMCL28: LbrM_01|LbrM.01.0220:mRNA LmjF_01|LmjF.01.0190:mRNA
ORTHOMCL29: LbrM_01|LbrM.01.0060:mRNA Tb927_01|Tb927.1.1350:mRNA
ORTHOMCL30: LbrM_01|LbrM.01.0230:mRNA LmjF_01|LmjF.01.0200:mRNA
ORTHOMCL31: LbrM_01|LbrM.01.0180:mRNA LmjF_01|LmjF.01.0150:mRNA
ORTHOMCL32: LbrM_01|LbrM.01.0110:mRNA LmjF_01|LmjF.01.0080:mRNA
ORTHOMCL33: LbrM_01|LbrM.01.0330:mRNA LmjF_01|LmjF.01.0300:mRNA
ORTHOMCL34: LbrM_01|LbrM.01.0170:mRNA LmjF_01|LmjF.01.0140:mRNA
ORTHOMCL35: LbrM_01|LbrM.01.0390:mRNA LmjF_01|LmjF.01.0340:mRNA
ORTHOMCL36: LbrM_01|LbrM.01.0070:mRNA LmjF_01|LmjF.01.0040:mRNA
ORTHOMCL37: LbrM_01|LbrM.01.0710:mRNA LmjF_01|LmjF.01.0740:mRNA
ORTHOMCL38: LbrM_01|LbrM.01.0190:mRNA LmjF_01|LmjF.01.0160:mRNA
ORTHOMCL39: LbrM_01|LbrM.01.0290:mRNA LmjF_01|LmjF.01.0250:mRNA
ORTHOMCL40: LbrM_01|LbrM.01.0500:mRNA LmjF_01|LmjF.01.0450:mRNA
ORTHOMCL41: LbrM_01|LbrM.01.0730:mRNA LmjF_01|LmjF.01.0760:mRNA
ORTHOMCL42: LbrM_01|LbrM.01.0350:mRNA LmjF_01|LmjF.01.0315:mRNA
ORTHOMCL43: LbrM_01|LbrM.01.0650:mRNA LmjF_01|LmjF.01.0670:mRNA
ORTHOMCL44: LbrM_01|LbrM.01.0450:mRNA LmjF_01|LmjF.01.0400:mRNA
ORTHOMCL45: LbrM_01|LbrM.01.0130:mRNA LmjF_01|LmjF.01.0100:mRNA
ORTHOMCL46: LbrM_01|LbrM.01.0490:mRNA
ORTHOMCL47: LmjF_01|LmjF.01.0440:mRNA
ORTHOMCL48: LbrM_01|LbrM.01.0590:mRNA
ORTHOMCL49: LmjF_01|LmjF.01.0560:mRNA
ORTHOMCL50: LbrM_01|LbrM.01.0560:mRNA
ORTHOMCL51: LbrM_01|LbrM.01.0690:mRNA
ORTHOMCL52: LmjF_01|LmjF.01.0710:mRNA
ORTHOMCL53: LbrM_01|LbrM.01.0210:mRNA
ORTHOMCL54: LmjF_01|LmjF.01.0180:mRNA
ORTHOMCL55: LbrM_01|LbrM.01.0550:mRNA
ORTHOMCL56: LmjF_01|LmjF.01.0520:mRNA
ORTHOMCL57: LmjF_01|LmjF.01.0490:mRNA
ORTHOMCL58: LmjF_01|LmjF.01.0470:mRNA
ORTHOMCL59: LmjF_01|LmjF.01.0500:mRNA
ORTHOMCL60: LbrM_01|LbrM.01.0480:mRNA
ORTHOMCL61: LmjF_01|LmjF.01.0430:mRNA
ORTHOMCL62: LbrM_01|LbrM.01.0240:mRNA
ORTHOMCL63: LmjF_01|LmjF.01.0210:mRNA
ORTHOMCL64: LbrM_01|LbrM.01.0780:pseudogenic_transcript
ORTHOMCL65: LmjF_01|LmjF.01.0820:mRNA
ORTHOMCL66: LbrM_01|LbrM.01.0430:mRNA
ORTHOMCL67: LmjF_01|LmjF.01.0380:mRNA
ORTHOMCL68: LbrM_01|LbrM.01.0740:mRNA
ORTHOMCL69: LmjF_01|LmjF.01.0770:mRNA
ORTHOMCL70: LmjF_01|LmjF.01.0780:mRNA
ORTHOMCL71: LbrM_01|LbrM.01.0770:mRNA
ORTHOMCL72: LmjF_01|LmjF.01.0810:mRNA
ORTHOMCL73: LbrM_01|LbrM.01.0100:mRNA
ORTHOMCL74: LmjF_01|LmjF.01.0070:mRNA
ORTHOMCL75: LbrM_01|LbrM.01.0400:mRNA
ORTHOMCL76: LmjF_01|LmjF.01.0350:mRNA
ORTHOMCL77: LbrM_01|LbrM.01.0050:mRNA
ORTHOMCL78: LmjF_01|LmjF.01.0020:mRNA
ORTHOMCL79: LmjF_01|LmjF.01.0030:mRNA
ORTHOMCL80: LbrM_01|LbrM.01.0610:mRNA
ORTHOMCL81: LmjF_01|LmjF.01.0580:mRNA
ORTHOMCL82: LbrM_01|LbrM.01.0540:mRNA
ORTHOMCL83: LbrM_01|LbrM.01.0310:mRNA
ORTHOMCL84: LmjF_01|LmjF.01.0280:mRNA
ORTHOMCL85: LbrM_01|LbrM.01.0080:mRNA
ORTHOMCL86: LmjF_01|LmjF.01.0050:mRNA
ORTHOMCL87: LbrM_01|LbrM.01.0520:mRNA
ORTHOMCL88: LbrM_01|LbrM.01.0340:mRNA
ORTHOMCL89: LmjF_01|LmjF.01.0310:mRNA
ORTHOMCL90: LbrM_01|LbrM.01.0250:mRNA
ORTHOMCL91: LmjF_01|LmjF.01.0220:mRNA
ORTHOMCL92: LbrM_01|LbrM.01.0440:mRNA
ORTHOMCL93: LmjF_01|LmjF.01.0390:mRNA
ORTHOMCL94: LbrM_01|LbrM.01.0510:mRNA
ORTHOMCL95: LmjF_01|LmjF.01.0460:mRNA
ORTHOMCL96: LbrM_01|LbrM.01.0700:mRNA
ORTHOMCL97: LmjF_01|LmjF.01.0720:mRNA
ORTHOMCL98: LbrM_01|LbrM.01.0280:mRNA
ORTHOMCL99: LmjF_01|LmjF.01.0240:mRNA
ORTHOMCL100: LbrM_01|LbrM.01.0630:mRNA
ORTHOMCL101: LmjF_01|LmjF.01.0600:mRNA
ORTHOMCL102: LbrM_01|LbrM.01.0600:mRNA
ORTHOMCL103: LmjF_01|LmjF.01.0570:mRNA
