OG0: LbrM_01|LbrM.01.0470:mRNA LmjF_01|LmjF.01.0420:mRNA LmjF_01|LmjF.01.0410:mRNA LbrM_01|LbrM.01.0460:mRNA
OG1: LbrM_01|LbrM.01.0620:mRNA LmjF_01|LmjF.01.0590.1:mRNA LmjF_01|LmjF.01.0590.2:mRNA Tb927_01|Tb927.1.3030:mRNA
OG2: LbrM_01|LbrM.01.0670:mRNA LmjF_01|LmjF.01.0690:mRNA LbrM_01|LbrM.01.0680:mRNA
OG3: LbrM_01|LbrM.01.0410:mRNA LmjF_01|LmjF.01.0360:mRNA
OG4: LbrM_01|LbrM.01.0120:mRNA LmjF_01|LmjF.01.0090:mRNA
OG5: LbrM_01|LbrM.01.0030:mRNA LmjF_01|LmjF.01.0610:mRNA
OG6: LbrM_01|LbrM.01.0160:mRNA LmjF_01|LmjF.01.0130:mRNA
OG7: LbrM_01|LbrM.01.0760:mRNA LmjF_01|LmjF.01.0800:mRNA
OG8: LmjF_01|LmjF.01.0530:mRNA LbrM_01|LbrM.01.0260:mRNA
OG9: LbrM_01|LbrM.01.0140:mRNA LmjF_01|LmjF.01.0110:mRNA
OG10: LbrM_01|LbrM.01.0040:mRNA LmjF_01|LmjF.01.0010:mRNA
OG11: LbrM_01|LbrM.01.0270:mRNA LmjF_01|LmjF.01.0230:mRNA
OG12: LbrM_01|LbrM.01.0570:mRNA LmjF_01|LmjF.01.0540:mRNA
OG13: LbrM_01|LbrM.01.0010:mRNA LmjF_01|LmjF.01.0630:mRNA
OG14: LbrM_01|LbrM.01.0320:mRNA LmjF_01|LmjF.01.0290:mRNA
OG15: LbrM_01|LbrM.01.0580:mRNA LmjF_01|LmjF.01.0550:mRNA
OG16: LbrM_01|LbrM.01.0660:mRNA LmjF_01|LmjF.01.0680:mRNA
OG17: LbrM_01|LbrM.01.0360:mRNA LmjF_01|LmjF.01.0320:mRNA
OG18: LbrM_01|LbrM.01.0640:mRNA LmjF_01|LmjF.01.0660:mRNA
OG19: LbrM_01|LbrM.01.0200:mRNA LmjF_01|LmjF.01.0170:mRNA
OG20: LbrM_01|LbrM.01.0300:mRNA LmjF_01|LmjF.01.0270:mRNA
OG21: LbrM_01|LbrM.01.0420:mRNA LmjF_01|LmjF.01.0370:mRNA
OG22: LbrM_01|LbrM.01.0150:mRNA LmjF_01|LmjF.01.0120:mRNA
OG23: LbrM_01|LbrM.01.0370:mRNA LmjF_01|LmjF.01.0330.2:mRNA
OG24: LbrM_01|LbrM.01.0020:mRNA LmjF_01|LmjF.01.0620:mRNA
OG25: LbrM_01|LbrM.01.0750:mRNA LmjF_01|LmjF.01.0790:mRNA
OG26: LbrM_01|LbrM.01.0380:mRNA LmjF_01|LmjF.01.0335:mRNA
OG27: LbrM_01|LbrM.01.0090:mRNA LmjF_01|LmjF.01.0060:mRNA
OG28: LbrM_01|LbrM.01.0220:mRNA LmjF_01|LmjF.01.0190:mRNA
OG29: LbrM_01|LbrM.01.0060:mRNA Tb927_01|Tb927.1.1350:mRNA
OG30: LbrM_01|LbrM.01.0230:mRNA LmjF_01|LmjF.01.0200:mRNA
OG31: LbrM_01|LbrM.01.0180:mRNA LmjF_01|LmjF.01.0150:mRNA
OG32: LbrM_01|LbrM.01.0110:mRNA LmjF_01|LmjF.01.0080:mRNA
OG33: LbrM_01|LbrM.01.0330:mRNA LmjF_01|LmjF.01.0300:mRNA
OG34: LbrM_01|LbrM.01.0170:mRNA LmjF_01|LmjF.01.0140:mRNA
OG35: LbrM_01|LbrM.01.0390:mRNA LmjF_01|LmjF.01.0340:mRNA
OG36: LbrM_01|LbrM.01.0070:mRNA LmjF_01|LmjF.01.0040:mRNA
OG37: LbrM_01|LbrM.01.0710:mRNA LmjF_01|LmjF.01.0740:mRNA
OG38: LbrM_01|LbrM.01.0190:mRNA LmjF_01|LmjF.01.0160:mRNA
OG39: LbrM_01|LbrM.01.0290:mRNA LmjF_01|LmjF.01.0250:mRNA
OG40: LbrM_01|LbrM.01.0500:mRNA LmjF_01|LmjF.01.0450:mRNA
OG41: LbrM_01|LbrM.01.0730:mRNA LmjF_01|LmjF.01.0760:mRNA
OG42: LbrM_01|LbrM.01.0350:mRNA LmjF_01|LmjF.01.0315:mRNA
OG43: LbrM_01|LbrM.01.0650:mRNA LmjF_01|LmjF.01.0670:mRNA
OG44: LbrM_01|LbrM.01.0450:mRNA LmjF_01|LmjF.01.0400:mRNA
OG45: LbrM_01|LbrM.01.0130:mRNA LmjF_01|LmjF.01.0100:mRNA
OG46: LbrM_01|LbrM.01.0490:mRNA
OG47: LmjF_01|LmjF.01.0440:mRNA
OG48: LbrM_01|LbrM.01.0590:mRNA
OG49: LmjF_01|LmjF.01.0560:mRNA
OG50: LbrM_01|LbrM.01.0560:mRNA
OG51: LbrM_01|LbrM.01.0690:mRNA
OG52: LmjF_01|LmjF.01.0710:mRNA
OG53: LbrM_01|LbrM.01.0210:mRNA
OG54: LmjF_01|LmjF.01.0180:mRNA
OG55: LbrM_01|LbrM.01.0550:mRNA
OG56: LmjF_01|LmjF.01.0520:mRNA
OG57: LmjF_01|LmjF.01.0490:mRNA
OG58: LmjF_01|LmjF.01.0470:mRNA
OG59: LmjF_01|LmjF.01.0500:mRNA
OG60: LbrM_01|LbrM.01.0480:mRNA
OG61: LmjF_01|LmjF.01.0430:mRNA
OG62: LbrM_01|LbrM.01.0240:mRNA
OG63: LmjF_01|LmjF.01.0210:mRNA
OG64: LbrM_01|LbrM.01.0780:pseudogenic_transcript
OG65: LmjF_01|LmjF.01.0820:mRNA
OG66: LbrM_01|LbrM.01.0430:mRNA
OG67: LmjF_01|LmjF.01.0380:mRNA
OG68: LbrM_01|LbrM.01.0740:mRNA
OG69: LmjF_01|LmjF.01.0770:mRNA
OG70: LmjF_01|LmjF.01.0780:mRNA
OG71: LbrM_01|LbrM.01.0770:mRNA
OG72: LmjF_01|LmjF.01.0810:mRNA
OG73: LbrM_01|LbrM.01.0100:mRNA
OG74: LmjF_01|LmjF.01.0070:mRNA
OG75: LbrM_01|LbrM.01.0400:mRNA
OG76: LmjF_01|LmjF.01.0350:mRNA
OG77: LbrM_01|LbrM.01.0050:mRNA
OG78: LmjF_01|LmjF.01.0020:mRNA
OG79: LmjF_01|LmjF.01.0030:mRNA
OG80: LbrM_01|LbrM.01.0610:mRNA
OG81: LmjF_01|LmjF.01.0580:mRNA
OG82: LbrM_01|LbrM.01.0540:mRNA
OG83: LbrM_01|LbrM.01.0310:mRNA
OG84: LmjF_01|LmjF.01.0280:mRNA
OG85: LbrM_01|LbrM.01.0080:mRNA
OG86: LmjF_01|LmjF.01.0050:mRNA
OG87: LbrM_01|LbrM.01.0520:mRNA
OG88: LbrM_01|LbrM.01.0340:mRNA
OG89: LmjF_01|LmjF.01.0310:mRNA
OG90: LbrM_01|LbrM.01.0250:mRNA
OG91: LmjF_01|LmjF.01.0220:mRNA
OG92: LbrM_01|LbrM.01.0440:mRNA
OG93: LmjF_01|LmjF.01.0390:mRNA
OG94: LbrM_01|LbrM.01.0510:mRNA
OG95: LmjF_01|LmjF.01.0460:mRNA
OG96: LbrM_01|LbrM.01.0700:mRNA
OG97: LmjF_01|LmjF.01.0720:mRNA
OG98: LbrM_01|LbrM.01.0280:mRNA
OG99: LmjF_01|LmjF.01.0240:mRNA
OG100: LbrM_01|LbrM.01.0630:mRNA
OG101: LmjF_01|LmjF.01.0600:mRNA
OG102: LbrM_01|LbrM.01.0600:mRNA
OG103: LmjF_01|LmjF.01.0570:mRNA
